incident_date,incident_hour,day_of_week,month,year,latitude,longitude,bike_value
2026-07-24,14,Friday,7,2026,52.33841214782077,13.204748622042487,400
2026-07-30,22,Thursday,7,2026,52.4561701058851,13.293983592099025,2069
2026-07-30,17,Thursday,7,2026,52.480437555482986,13.446990230158473,489
2026-07-30,22,Thursday,7,2026,52.55811198981165,13.593663385885444,3200
2026-07-30,21,Thursday,7,2026,52.415963371655664,13.203960053698454,2786
2026-07-29,16,Wednesday,7,2026,52.3683538774674,13.155533152388132,500
2026-07-30,19,Thursday,7,2026,52.48563224952664,13.289380103750464,2800
2026-07-31,17,Friday,7,2026,52.51599734530613,13.555808948705083,1399
2026-07-31,7,Friday,7,2026,52.40741689267011,13.1790397985494,3800
2026-07-31,6,Friday,7,2026,52.41759459234339,13.302645269434626,599
2026-07-31,20,Friday,7,2026,52.53152425259339,13.571028167505856,4500
2026-07-31,7,Friday,7,2026,52.36490601385323,13.07,0
2026-07-31,18,Friday,7,2026,52.410052763608995,13.245644490551495,3959
2026-07-30,9,Thursday,7,2026,52.57145567283212,13.560444188077549,680
2026-07-29,17,Wednesday,7,2026,52.47237064333124,13.42458072373579,1398
2026-07-06,12,Monday,7,2026,52.48703146289748,13.531561169819943,30
2026-07-30,17,Thursday,7,2026,52.53676773386173,13.597920315819557,1000
2026-07-30,20,Thursday,7,2026,52.39996427417366,13.238745964718936,1900
2026-07-30,16,Thursday,7,2026,52.33678613653892,13.07,1552
2026-07-30,13,Thursday,7,2026,52.42243571441669,13.289769629100565,2216
2026-07-30,10,Thursday,7,2026,52.631602542840724,13.545357007714873,865
2026-07-31,10,Friday,7,2026,52.605209295060526,13.37266395487338,848
2026-07-30,17,Thursday,7,2026,52.39902889064159,13.150952673550071,3200
2026-07-29,12,Wednesday,7,2026,52.42997751953614,13.200314526111491,1250
2026-07-29,12,Wednesday,7,2026,52.42007770421169,13.237347459779185,3349
2026-07-30,12,Thursday,7,2026,52.33,13.184696608823446,1799
2026-07-29,21,Wednesday,7,2026,52.34877430622754,13.07,1950
2026-07-29,9,Wednesday,7,2026,52.37991151049705,13.244391787242039,579
2026-07-22,18,Wednesday,7,2026,52.580462105624264,13.300192772680404,500
2026-07-22,19,Wednesday,7,2026,52.434281951760944,13.19476161734263,750
2026-07-27,22,Monday,7,2026,52.47907736711668,13.329954081349538,3000
2026-07-29,9,Wednesday,7,2026,52.43546441151474,13.236163447098622,1367
2026-07-28,16,Tuesday,7,2026,52.41896609811902,13.331551618635359,1000
2026-07-29,9,Wednesday,7,2026,52.40724114072575,13.147217124067625,785
2026-07-28,8,Tuesday,7,2026,52.67,13.68699211906074,270
2026-07-15,16,Wednesday,7,2026,52.48345159735215,13.248670169939105,432
2026-07-14,8,Tuesday,7,2026,52.33,13.161812675497861,380
2026-07-28,9,Tuesday,7,2026,52.4068397155468,13.141397041530453,300
2026-03-26,17,Thursday,3,2026,52.33,13.138543608131993,340
2026-07-30,1,Thursday,7,2026,52.45984285469001,13.15582222141748,2000
2026-07-25,17,Saturday,7,2026,52.67,13.58415052488015,400
2026-07-30,11,Thursday,7,2026,52.42117318374347,13.36427242653181,2800
2026-07-28,13,Tuesday,7,2026,52.36198511351986,13.182885029736799,1723
2026-07-30,20,Thursday,7,2026,52.38188256825438,13.150936242303041,0
2026-07-30,14,Thursday,7,2026,52.37182621729419,13.159862165357957,0
2026-07-29,23,Wednesday,7,2026,52.480266828446695,13.472320795846128,323
2026-07-28,7,Tuesday,7,2026,52.393728148740294,13.295489085890651,1399
2026-07-10,22,Friday,7,2026,52.3438848143137,13.210355547656945,85
2026-07-02,18,Thursday,7,2026,52.44077962153176,13.28280608944337,500
2026-07-27,8,Monday,7,2026,52.33092878828831,13.167612558679192,1683
2026-07-29,10,Wednesday,7,2026,52.561596720250876,13.3920174349319,0
2026-07-29,22,Wednesday,7,2026,52.418137335383186,13.330994830009535,300
2026-07-29,15,Wednesday,7,2026,52.541696924189715,13.486577707046278,3423
2026-07-29,17,Wednesday,7,2026,52.54487586086848,13.355675527098288,6850
2026-07-29,20,Wednesday,7,2026,52.33,13.214411268687249,1500
2026-07-29,18,Wednesday,7,2026,52.46197299673021,13.329592120363559,250
2026-07-29,18,Wednesday,7,2026,52.48915713771412,13.311514044922985,2500
2026-07-29,20,Wednesday,7,2026,52.330025838271936,13.273568041332101,1000
2026-07-29,15,Wednesday,7,2026,52.50673169292661,13.377074390362516,660
2026-07-27,16,Monday,7,2026,52.403294139712415,13.251729565446094,0
2026-07-25,23,Saturday,7,2026,52.489691143588864,13.358451359757726,670
2026-07-24,12,Friday,7,2026,52.52945246445609,13.646642078492867,400
2026-07-26,22,Sunday,7,2026,52.418077169345786,13.50216633959894,0
2026-07-30,14,Thursday,7,2026,52.66429707828084,13.76,900
2026-07-30,13,Thursday,7,2026,52.39844923366166,13.215695688327745,1599
2026-07-30,12,Thursday,7,2026,52.58372464251729,13.598659860291876,300
2026-07-30,16,Thursday,7,2026,52.461222410474846,13.360382759088484,1860
2026-07-30,21,Thursday,7,2026,52.597498763921074,13.666302311516482,1800
2026-07-30,11,Thursday,7,2026,52.56271268485805,13.500208537120448,3000
2026-07-30,12,Thursday,7,2026,52.599253623664936,13.631871070354595,463
2026-07-30,13,Thursday,7,2026,52.33,13.07,1260
2026-07-30,19,Thursday,7,2026,52.624288725557236,13.516638474276164,1800
2026-07-29,21,Wednesday,7,2026,52.64849164604559,13.68944160832681,300
2026-07-29,22,Wednesday,7,2026,52.33,13.096690494770394,450
2026-07-28,17,Tuesday,7,2026,52.369527680431695,13.085193325514414,623
2026-07-28,8,Tuesday,7,2026,52.57606591648864,13.746854079606921,399
2026-07-29,20,Wednesday,7,2026,52.38945423018712,13.115818522532694,1468
2026-07-29,23,Wednesday,7,2026,52.42142977895036,13.143827382380898,1000
2026-07-27,19,Monday,7,2026,52.52346588408241,13.57294926394523,300
2026-07-29,22,Wednesday,7,2026,52.54566880646221,13.440459426144582,0
2026-07-30,8,Thursday,7,2026,52.59183904634682,13.553857976695939,1505
2026-07-29,20,Wednesday,7,2026,52.67,13.713013052398352,350
2026-07-29,22,Wednesday,7,2026,52.50523964913269,13.184346482020464,1688
2026-07-29,19,Wednesday,7,2026,52.619230594199855,13.655546447158306,1800
2026-07-29,17,Wednesday,7,2026,52.345913191782124,13.14764254459622,750
2026-07-27,14,Monday,7,2026,52.43292427851872,13.399288134481706,400
2026-07-29,20,Wednesday,7,2026,52.33610948575173,13.175311641377816,999
2026-06-27,23,Saturday,6,2026,52.43334491452929,13.285682021137802,2300
2026-07-23,19,Thursday,7,2026,52.46095759874083,13.340838499479265,90
2026-07-23,9,Thursday,7,2026,52.4778345399665,13.366943104137118,900
2026-07-28,18,Tuesday,7,2026,52.391459162451795,13.097201161000857,894
2026-07-28,21,Tuesday,7,2026,52.605350094593895,13.58813845785901,0
2026-07-28,15,Tuesday,7,2026,52.61707670385786,13.473814559938663,1000
2026-07-29,19,Wednesday,7,2026,52.571367158338106,13.524859526730356,1500
2026-07-28,10,Tuesday,7,2026,52.54640845832947,13.243828477507542,1799
2026-07-28,12,Tuesday,7,2026,52.622583367388245,13.568993060877316,4500
2026-07-29,6,Wednesday,7,2026,52.33,13.07,570
2026-07-29,1,Wednesday,7,2026,52.33005537509695,13.174820465968557,0
2026-07-29,12,Wednesday,7,2026,52.36082362076216,13.136099759566534,1399
2026-07-29,8,Wednesday,7,2026,52.332226860733705,13.14423952991584,3000
2026-07-28,21,Tuesday,7,2026,52.553300024704605,13.456464576437302,700
2026-07-29,9,Wednesday,7,2026,52.574761881228675,13.591975174470015,6999
2026-07-29,11,Wednesday,7,2026,52.60105855436716,13.539282574533958,3877
2026-07-29,6,Wednesday,7,2026,52.60256031409658,13.76,1352
2026-07-29,12,Wednesday,7,2026,52.401657638765705,13.41042498571523,0
2026-07-29,16,Wednesday,7,2026,52.56227425239665,13.603340164250996,5284
2026-07-28,18,Tuesday,7,2026,52.61401993971617,13.525832015962397,350
2026-07-28,22,Tuesday,7,2026,52.44120468720651,13.256596631693478,5324
2026-07-27,17,Monday,7,2026,52.5625130610644,13.712067544778902,389
2026-07-28,20,Tuesday,7,2026,52.35205904629255,13.12940396917657,350
2026-07-27,12,Monday,7,2026,52.57036586898644,13.56211966852954,1300
2026-07-28,20,Tuesday,7,2026,52.43320712818994,13.339375163281677,775
2026-07-28,14,Tuesday,7,2026,52.54538625529728,13.45440761434924,1000
2026-07-26,15,Sunday,7,2026,52.453510435922304,13.329960262217625,1500
2026-07-28,9,Tuesday,7,2026,52.36665148510847,13.303092697888573,2638
2026-07-28,9,Tuesday,7,2026,52.401489368017415,13.181359242475244,1600
2026-07-28,13,Tuesday,7,2026,52.411639226318414,13.25527421234426,340
2026-07-28,13,Tuesday,7,2026,52.38415256215876,13.071656873109506,1500
2026-07-28,7,Tuesday,7,2026,52.67,13.68156456780835,100
2026-07-28,11,Tuesday,7,2026,52.46211653160214,13.520527999559633,1799
2026-07-28,12,Tuesday,7,2026,52.33,13.200461506879602,1199
2026-07-27,12,Monday,7,2026,52.36915176336043,13.07,748
2026-07-27,22,Monday,7,2026,52.44948929754561,13.20869941459822,270
2026-07-27,17,Monday,7,2026,52.4629523843153,13.276736928112799,758
2025-10-01,17,Wednesday,10,2025,52.67,13.728347089229432,570
2026-07-07,17,Tuesday,7,2026,52.626544525534655,13.612926571872952,300
2026-07-28,7,Tuesday,7,2026,52.493978282009024,13.286310852849473,650
2026-07-28,3,Tuesday,7,2026,52.444700088174656,13.239917596490395,400
2026-07-28,11,Tuesday,7,2026,52.51666956256529,13.438546445140673,700
2026-07-23,10,Thursday,7,2026,52.46833653776798,13.398189255822738,100
2026-07-28,13,Tuesday,7,2026,52.45504846102466,13.308917374752014,5500
2026-07-28,8,Tuesday,7,2026,52.45215873927312,13.343901440848704,50
